event_id,customer_id,event_type,amount,status,timestamp,decline_code,attempt_number,fraud_score,retry_cooldown_hours,ptp_date
EVT_1035,CUST_025,CART_ABANDON,3016,DROPPED,2024-08-16 20:55:00,NETWORK_TIMEOUT,2,0.18,2,
EVT_1036,CUST_025,SUBSCRIPTION_FAIL,521,FAILED,2025-01-21 08:30:00,HIGH_SHIPPING_COST,3,0.17,2,
EVT_1037,CUST_026,SUBSCRIPTION_FAIL,1477,FAILED,2024-08-28 15:45:00,CARD_EXPIRED,1,0.2,48,
EVT_1038,CUST_027,UPI_PAYMENT_FAIL,4872,FAILED,2024-11-29 13:35:00,NETWORK_TIMEOUT,3,0.03,2,2024-12-02
EVT_1039,CUST_027,SUBSCRIPTION_FAIL,3930,FAILED,2024-10-31 21:05:00,CARD_EXPIRED,3,0.27,48,
EVT_1040,CUST_028,UPI_PAYMENT_FAIL,4088,FAILED,2024-09-09 11:40:00,HIGH_SHIPPING_COST,1,0.28,2,
EVT_1041,CUST_029,SUBSCRIPTION_FAIL,595,FAILED,2024-09-17 18:00:00,NETWORK_TIMEOUT,3,0.15,2,
EVT_1042,CUST_029,SUBSCRIPTION_FAIL,3785,FAILED,2024-08-03 01:00:00,CARD_EXPIRED,1,0.24,48,2024-08-05
EVT_1043,CUST_030,CART_ABANDON,3291,DROPPED,2024-12-27 17:25:00,NETWORK_TIMEOUT,1,0.11,2,
EVT_1044,CUST_031,SUBSCRIPTION_FAIL,3708,FAILED,2024-11-03 03:45:00,HIGH_SHIPPING_COST,3,0.06,2,
EVT_1045,CUST_031,CART_ABANDON,2502,DROPPED,2024-09-23 21:50:00,CARD_EXPIRED,1,0.13,48,
EVT_1046,CUST_032,CART_ABANDON,3108,DROPPED,2024-08-24 20:40:00,CARD_EXPIRED,3,0.26,48,
EVT_1047,CUST_033,SUBSCRIPTION_FAIL,1988,FAILED,2024-11-27 09:00:00,CARD_EXPIRED,2,0.3,48,2024-12-02
EVT_1048,CUST_033,CART_ABANDON,1220,DROPPED,2024-12-05 01:30:00,NETWORK_TIMEOUT,1,0.2,2,
EVT_1049,CUST_034,CART_ABANDON,3629,DROPPED,2024-10-02 17:05:00,CARD_EXPIRED,2,0.24,48,
EVT_1050,CUST_034,UPI_PAYMENT_FAIL,3087,FAILED,2025-01-03 17:25:00,INSUFFICIENT_FUNDS,1,0.22,24,
EVT_1051,CUST_035,CART_ABANDON,3691,DROPPED,2024-11-11 15:30:00,INSUFFICIENT_FUNDS,1,0.29,24,
EVT_1052,CUST_036,CART_ABANDON,1966,DROPPED,2025-01-07 20:15:00,HIGH_SHIPPING_COST,1,0.22,2,
EVT_1053,CUST_036,CART_ABANDON,4929,DROPPED,2024-10-22 22:35:00,HIGH_SHIPPING_COST,2,0.03,2,
EVT_1054,CUST_037,UPI_PAYMENT_FAIL,2550,FAILED,2024-09-21 19:40:00,INSUFFICIENT_FUNDS,3,0.22,24,
EVT_1055,CUST_038,SUBSCRIPTION_FAIL,346,FAILED,2024-09-19 13:10:00,INSUFFICIENT_FUNDS,1,0.25,24,2024-09-23
EVT_1056,CUST_039,SUBSCRIPTION_FAIL,1963,FAILED,2024-08-26 09:00:00,NETWORK_TIMEOUT,3,0.17,2,2024-08-30
EVT_1057,CUST_039,SUBSCRIPTION_FAIL,369,FAILED,2024-08-14 22:15:00,HIGH_SHIPPING_COST,3,0.21,2,
EVT_1058,CUST_040,CART_ABANDON,3618,DROPPED,2024-11-03 15:20:00,INSUFFICIENT_FUNDS,1,0.13,24,
EVT_1059,CUST_041,SUBSCRIPTION_FAIL,817,FAILED,2024-08-06 15:00:00,INSUFFICIENT_FUNDS,2,0.21,24,2024-08-11
EVT_1060,CUST_041,SUBSCRIPTION_FAIL,2949,FAILED,2024-10-04 05:45:00,CARD_EXPIRED,2,0.29,48,
EVT_1061,CUST_042,UPI_PAYMENT_FAIL,2654,FAILED,2024-08-17 10:45:00,INSUFFICIENT_FUNDS,2,0.3,24,
EVT_1062,CUST_043,UPI_PAYMENT_FAIL,111,FAILED,2024-12-19 22:20:00,HIGH_SHIPPING_COST,1,0.06,2,
EVT_1063,CUST_043,CART_ABANDON,3475,DROPPED,2024-11-09 13:40:00,CARD_EXPIRED,2,0.27,48,
EVT_1064,CUST_044,UPI_PAYMENT_FAIL,4871,FAILED,2025-01-02 16:30:00,NETWORK_TIMEOUT,2,0.09,2,
EVT_1065,CUST_044,UPI_PAYMENT_FAIL,2462,FAILED,2024-12-14 12:25:00,NETWORK_TIMEOUT,1,0.13,2,
EVT_1066,CUST_045,SUBSCRIPTION_FAIL,2585,FAILED,2024-11-26 09:15:00,HIGH_SHIPPING_COST,3,0.12,2,
EVT_1067,CUST_046,CART_ABANDON,2834,DROPPED,2024-08-20 17:45:00,INSUFFICIENT_FUNDS,1,0.09,24,
EVT_1068,CUST_046,CART_ABANDON,1063,DROPPED,2024-09-27 08:35:00,CARD_EXPIRED,1,0.15,48,
EVT_1069,CUST_047,UPI_PAYMENT_FAIL,1409,FAILED,2024-11-17 09:25:00,INSUFFICIENT_FUNDS,1,0.29,24,
EVT_1070,CUST_048,SUBSCRIPTION_FAIL,2321,FAILED,2024-09-28 00:15:00,CARD_EXPIRED,3,0.26,48,
EVT_1071,CUST_048,SUBSCRIPTION_FAIL,4463,FAILED,2025-01-13 22:10:00,NETWORK_TIMEOUT,3,0.02,2,
EVT_1072,CUST_049,CART_ABANDON,317,DROPPED,2024-12-22 07:15:00,HIGH_SHIPPING_COST,2,0.11,2,
EVT_1073,CUST_050,SUBSCRIPTION_FAIL,3120,FAILED,2024-12-25 20:35:00,NETWORK_TIMEOUT,2,0.29,2,2024-12-26
EVT_1074,CUST_050,SUBSCRIPTION_FAIL,1941,FAILED,2024-12-31 13:20:00,HIGH_SHIPPING_COST,1,0.14,2,2025-01-01
EVT_1075,CUST_051,UPI_PAYMENT_FAIL,2687,FAILED,2024-08-02 03:55:00,HIGH_SHIPPING_COST,2,0.22,2,
EVT_1076,CUST_051,CART_ABANDON,3934,DROPPED,2025-01-06 19:25:00,HIGH_SHIPPING_COST,3,0.06,2,
EVT_1077,CUST_052,CART_ABANDON,2651,DROPPED,2024-10-23 03:45:00,NETWORK_TIMEOUT,1,0.14,2,
EVT_1078,CUST_053,CART_ABANDON,1576,DROPPED,2024-08-24 21:15:00,INSUFFICIENT_FUNDS,1,0.3,24,
EVT_1079,CUST_054,CART_ABANDON,794,DROPPED,2024-08-04 18:25:00,INSUFFICIENT_FUNDS,1,0.16,24,
EVT_1080,CUST_055,CART_ABANDON,441,DROPPED,2025-01-05 01:40:00,INSUFFICIENT_FUNDS,1,0.26,24,
EVT_1081,CUST_056,SUBSCRIPTION_FAIL,382,FAILED,2024-09-25 08:10:00,NETWORK_TIMEOUT,1,0.04,2,
EVT_1082,CUST_056,SUBSCRIPTION_FAIL,4380,FAILED,2024-11-18 15:30:00,CARD_EXPIRED,2,0.22,48,2024-11-20
EVT_1083,CUST_057,SUBSCRIPTION_FAIL,4410,FAILED,2024-08-28 08:20:00,CARD_EXPIRED,1,0.2,48,
EVT_1084,CUST_058,CART_ABANDON,3180,DROPPED,2024-10-14 08:45:00,NETWORK_TIMEOUT,2,0.05,2,
EVT_1085,CUST_058,UPI_PAYMENT_FAIL,264,FAILED,2024-09-28 03:50:00,NETWORK_TIMEOUT,2,0.19,2,
EVT_1086,CUST_059,UPI_PAYMENT_FAIL,2398,FAILED,2024-12-23 03:20:00,CARD_EXPIRED,2,0.04,48,
EVT_1087,CUST_060,SUBSCRIPTION_FAIL,4452,FAILED,2025-01-11 21:05:00,INSUFFICIENT_FUNDS,3,0.26,24,2025-01-12
EVT_1088,CUST_060,CART_ABANDON,3082,DROPPED,2024-08-10 17:55:00,INSUFFICIENT_FUNDS,2,0.04,24,
EVT_1089,CUST_061,UPI_PAYMENT_FAIL,1172,FAILED,2024-08-16 03:00:00,NETWORK_TIMEOUT,1,0.14,2,
EVT_1090,CUST_062,UPI_PAYMENT_FAIL,417,FAILED,2024-11-18 06:25:00,INSUFFICIENT_FUNDS,2,0.2,24,
EVT_1091,CUST_063,CART_ABANDON,972,DROPPED,2024-08-15 09:10:00,INSUFFICIENT_FUNDS,1,0.05,24,
EVT_1092,CUST_064,SUBSCRIPTION_FAIL,3377,FAILED,2025-01-20 08:05:00,HIGH_SHIPPING_COST,1,0.29,2,
EVT_1093,CUST_065,CART_ABANDON,1267,DROPPED,2024-09-20 16:05:00,NETWORK_TIMEOUT,2,0.14,2,
EVT_1094,CUST_065,SUBSCRIPTION_FAIL,2305,FAILED,2024-12-25 14:35:00,HIGH_SHIPPING_COST,1,0.18,2,
EVT_1095,CUST_066,UPI_PAYMENT_FAIL,1523,FAILED,2024-11-10 22:55:00,INSUFFICIENT_FUNDS,3,0.21,24,
EVT_1096,CUST_066,CART_ABANDON,4708,DROPPED,2025-01-13 02:15:00,HIGH_SHIPPING_COST,1,0.29,2,
EVT_1097,CUST_067,SUBSCRIPTION_FAIL,4363,FAILED,2024-11-18 22:05:00,HIGH_SHIPPING_COST,2,0.09,2,2024-11-22
EVT_1098,CUST_067,UPI_PAYMENT_FAIL,4701,FAILED,2024-12-20 20:40:00,CARD_EXPIRED,3,0.16,48,
EVT_1099,CUST_068,SUBSCRIPTION_FAIL,1925,FAILED,2024-11-06 10:50:00,INSUFFICIENT_FUNDS,2,0.07,24,2024-11-07
EVT_1100,CUST_069,SUBSCRIPTION_FAIL,2214,FAILED,2024-09-17 10:05:00,CARD_EXPIRED,2,0.21,48,
EVT_1101,CUST_069,CART_ABANDON,817,DROPPED,2024-10-02 04:35:00,NETWORK_TIMEOUT,3,0.21,2,
EVT_1102,CUST_070,UPI_PAYMENT_FAIL,2133,FAILED,2025-01-11 05:20:00,NETWORK_TIMEOUT,1,0.01,2,
EVT_1103,CUST_071,SUBSCRIPTION_FAIL,4318,FAILED,2024-11-22 05:35:00,INSUFFICIENT_FUNDS,3,0.13,24,
EVT_1104,CUST_072,SUBSCRIPTION_FAIL,4614,FAILED,2024-11-17 20:25:00,HIGH_SHIPPING_COST,1,0.16,2,
EVT_1105,CUST_073,CART_ABANDON,4422,DROPPED,2024-12-31 01:05:00,HIGH_SHIPPING_COST,1,0.02,2,
EVT_1106,CUST_073,SUBSCRIPTION_FAIL,4693,FAILED,2024-10-14 15:40:00,HIGH_SHIPPING_COST,3,0.19,2,
EVT_1107,CUST_074,UPI_PAYMENT_FAIL,2478,FAILED,2024-12-28 13:45:00,INSUFFICIENT_FUNDS,3,0.02,24,
EVT_1108,CUST_075,SUBSCRIPTION_FAIL,938,FAILED,2024-08-02 06:40:00,CARD_EXPIRED,3,0.07,48,
EVT_1109,CUST_075,SUBSCRIPTION_FAIL,4158,FAILED,2024-08-18 10:30:00,HIGH_SHIPPING_COST,2,0.28,2,
EVT_1110,CUST_076,UPI_PAYMENT_FAIL,4821,FAILED,2024-12-11 14:00:00,NETWORK_TIMEOUT,2,0.15,2,
EVT_1111,CUST_077,CART_ABANDON,2813,DROPPED,2024-10-10 03:35:00,NETWORK_TIMEOUT,2,0.11,2,
EVT_1112,CUST_077,UPI_PAYMENT_FAIL,4533,FAILED,2024-12-23 00:05:00,CARD_EXPIRED,1,0.03,48,
EVT_1113,CUST_078,UPI_PAYMENT_FAIL,2082,FAILED,2024-11-15 12:05:00,HIGH_SHIPPING_COST,2,0.17,2,
EVT_1114,CUST_079,UPI_PAYMENT_FAIL,213,FAILED,2024-11-26 18:55:00,HIGH_SHIPPING_COST,1,0.05,2,
EVT_1115,CUST_079,CART_ABANDON,3977,DROPPED,2024-11-01 12:10:00,HIGH_SHIPPING_COST,1,0.16,2,
EVT_1116,CUST_080,CART_ABANDON,4453,DROPPED,2024-11-07 05:25:00,CARD_EXPIRED,3,0.19,48,
EVT_1117,CUST_080,UPI_PAYMENT_FAIL,2047,FAILED,2024-09-05 11:25:00,NETWORK_TIMEOUT,2,0.02,2,
EVT_1118,CUST_081,UPI_PAYMENT_FAIL,4240,FAILED,2024-08-24 16:30:00,INSUFFICIENT_FUNDS,1,0.02,24,
EVT_1119,CUST_082,UPI_PAYMENT_FAIL,2503,FAILED,2024-10-02 18:50:00,HIGH_SHIPPING_COST,1,0.25,2,
EVT_1120,CUST_083,CART_ABANDON,4647,DROPPED,2025-01-14 09:05:00,CARD_EXPIRED,2,0.17,48,
EVT_1121,CUST_083,CART_ABANDON,4793,DROPPED,2024-11-29 16:10:00,HIGH_SHIPPING_COST,3,0.09,2,
EVT_1122,CUST_084,UPI_PAYMENT_FAIL,1248,FAILED,2025-01-15 00:15:00,CARD_EXPIRED,3,0.09,48,
EVT_1123,CUST_084,SUBSCRIPTION_FAIL,2246,FAILED,2024-11-17 16:35:00,HIGH_SHIPPING_COST,1,0.11,2,
EVT_1124,CUST_085,SUBSCRIPTION_FAIL,2147,FAILED,2024-11-09 00:35:00,HIGH_SHIPPING_COST,2,0.24,2,
EVT_1125,CUST_086,UPI_PAYMENT_FAIL,2539,FAILED,2024-10-18 13:00:00,CARD_EXPIRED,1,0.27,48,
EVT_1126,CUST_086,CART_ABANDON,2737,DROPPED,2024-10-25 10:20:00,NETWORK_TIMEOUT,1,0.19,2,
EVT_1127,CUST_087,CART_ABANDON,1622,DROPPED,2024-10-24 08:25:00,HIGH_SHIPPING_COST,1,0.2,2,
EVT_1128,CUST_088,SUBSCRIPTION_FAIL,1313,FAILED,2025-01-09 21:55:00,CARD_EXPIRED,3,0.17,48,
EVT_1129,CUST_089,SUBSCRIPTION_FAIL,634,FAILED,2024-11-09 02:20:00,CARD_EXPIRED,1,0.29,48,2024-11-12
EVT_1130,CUST_090,SUBSCRIPTION_FAIL,1226,FAILED,2024-10-10 18:00:00,NETWORK_TIMEOUT,1,0.26,2,
EVT_1131,CUST_091,SUBSCRIPTION_FAIL,279,FAILED,2024-09-18 05:45:00,HIGH_SHIPPING_COST,2,0.18,2,2024-09-23
EVT_1132,CUST_092,CART_ABANDON,4483,DROPPED,2025-01-08 11:30:00,CARD_EXPIRED,2,0.23,48,
EVT_1133,CUST_093,SUBSCRIPTION_FAIL,3773,FAILED,2024-11-01 21:55:00,CARD_EXPIRED,1,0.17,48,2024-11-03
EVT_1134,CUST_093,CART_ABANDON,973,DROPPED,2024-12-15 12:35:00,NETWORK_TIMEOUT,1,0.03,2,
EVT_1135,CUST_094,CART_ABANDON,4531,DROPPED,2024-11-06 20:30:00,HIGH_SHIPPING_COST,1,0.22,2,
EVT_1136,CUST_094,CART_ABANDON,2396,DROPPED,2024-12-29 00:05:00,CARD_EXPIRED,1,0.21,48,
EVT_1137,CUST_095,CART_ABANDON,1969,DROPPED,2024-11-27 05:20:00,CARD_EXPIRED,3,0.05,48,
EVT_1138,CUST_095,SUBSCRIPTION_FAIL,3297,FAILED,2025-01-16 23:30:00,INSUFFICIENT_FUNDS,2,0.26,24,
EVT_1139,CUST_096,UPI_PAYMENT_FAIL,246,FAILED,2024-08-16 17:30:00,NETWORK_TIMEOUT,2,0.05,2,
EVT_1140,CUST_097,CART_ABANDON,4354,DROPPED,2025-01-15 15:00:00,CARD_EXPIRED,3,0.19,48,
EVT_1141,CUST_097,CART_ABANDON,3265,DROPPED,2024-12-12 19:45:00,INSUFFICIENT_FUNDS,2,0.07,24,
EVT_1142,CUST_098,SUBSCRIPTION_FAIL,975,FAILED,2024-08-04 05:05:00,CARD_EXPIRED,3,0.3,48,
EVT_1143,CUST_099,SUBSCRIPTION_FAIL,3667,FAILED,2024-09-21 20:20:00,NETWORK_TIMEOUT,3,0.16,2,2024-09-26
EVT_1144,CUST_099,SUBSCRIPTION_FAIL,2887,FAILED,2024-10-23 20:15:00,CARD_EXPIRED,2,0.19,48,
EVT_1145,CUST_100,SUBSCRIPTION_FAIL,3620,FAILED,2024-10-11 05:50:00,INSUFFICIENT_FUNDS,1,0.17,24,2024-10-14
EVT_1146,CUST_101,UPI_PAYMENT_FAIL,2336,FAILED,2024-11-06 23:55:00,HIGH_SHIPPING_COST,1,0.25,2,
EVT_1147,CUST_102,SUBSCRIPTION_FAIL,3332,FAILED,2024-08-16 05:25:00,INSUFFICIENT_FUNDS,2,0.19,24,
EVT_1148,CUST_103,SUBSCRIPTION_FAIL,738,FAILED,2024-08-04 15:00:00,HIGH_SHIPPING_COST,2,0.07,2,
EVT_1149,CUST_104,SUBSCRIPTION_FAIL,1545,FAILED,2024-10-21 23:50:00,NETWORK_TIMEOUT,2,0.04,2,2024-10-24
EVT_1150,CUST_104,SUBSCRIPTION_FAIL,351,FAILED,2025-01-05 10:45:00,NETWORK_TIMEOUT,3,0.09,2,
EVT_1151,CUST_105,CART_ABANDON,1968,DROPPED,2024-11-13 13:50:00,HIGH_SHIPPING_COST,2,0.27,2,
EVT_1152,CUST_106,UPI_PAYMENT_FAIL,1499,FAILED,2025-01-10 18:50:00,INSUFFICIENT_FUNDS,1,0.29,24,
EVT_1153,CUST_106,UPI_PAYMENT_FAIL,2254,FAILED,2024-09-10 16:55:00,CARD_EXPIRED,3,0.27,48,
EVT_1154,CUST_107,SUBSCRIPTION_FAIL,4034,FAILED,2024-09-14 10:15:00,NETWORK_TIMEOUT,2,0.26,2,2024-09-15
EVT_1155,CUST_107,CART_ABANDON,2459,DROPPED,2024-11-20 06:15:00,INSUFFICIENT_FUNDS,2,0.25,24,
EVT_1156,CUST_108,SUBSCRIPTION_FAIL,3944,FAILED,2024-12-12 19:35:00,NETWORK_TIMEOUT,2,0.22,2,
EVT_1157,CUST_109,UPI_PAYMENT_FAIL,1779,FAILED,2024-11-22 21:05:00,CARD_EXPIRED,2,0.25,48,
EVT_1158,CUST_109,CART_ABANDON,3813,DROPPED,2024-11-22 00:35:00,INSUFFICIENT_FUNDS,2,0.24,24,
EVT_1159,CUST_110,UPI_PAYMENT_FAIL,793,FAILED,2025-01-01 04:35:00,CARD_EXPIRED,1,0.3,48,
EVT_1160,CUST_110,CART_ABANDON,2627,DROPPED,2024-12-25 23:35:00,INSUFFICIENT_FUNDS,3,0.25,24,
EVT_1161,CUST_111,UPI_PAYMENT_FAIL,3048,FAILED,2024-11-09 00:00:00,NETWORK_TIMEOUT,3,0.12,2,
EVT_1162,CUST_111,UPI_PAYMENT_FAIL,301,FAILED,2024-10-01 22:30:00,INSUFFICIENT_FUNDS,3,0.02,24,
EVT_1163,CUST_112,UPI_PAYMENT_FAIL,1390,FAILED,2024-11-21 01:05:00,NETWORK_TIMEOUT,1,0.14,2,
EVT_1164,CUST_113,UPI_PAYMENT_FAIL,2551,FAILED,2024-12-22 14:50:00,HIGH_SHIPPING_COST,3,0.19,2,
EVT_1165,CUST_113,SUBSCRIPTION_FAIL,3910,FAILED,2024-12-03 05:40:00,NETWORK_TIMEOUT,3,0.08,2,
EVT_1166,CUST_114,SUBSCRIPTION_FAIL,1696,FAILED,2024-09-22 20:15:00,NETWORK_TIMEOUT,1,0.15,2,
EVT_1167,CUST_114,UPI_PAYMENT_FAIL,1286,FAILED,2025-01-03 14:20:00,HIGH_SHIPPING_COST,3,0.06,2,
EVT_1168,CUST_115,SUBSCRIPTION_FAIL,759,FAILED,2024-08-10 09:15:00,INSUFFICIENT_FUNDS,2,0.15,24,2024-08-13
EVT_1169,CUST_116,UPI_PAYMENT_FAIL,3041,FAILED,2024-09-06 09:05:00,INSUFFICIENT_FUNDS,1,0.07,24,2024-09-07
EVT_1170,CUST_117,SUBSCRIPTION_FAIL,2249,FAILED,2024-12-23 00:40:00,HIGH_SHIPPING_COST,1,0.03,2,
EVT_1171,CUST_117,SUBSCRIPTION_FAIL,2976,FAILED,2024-10-01 22:20:00,INSUFFICIENT_FUNDS,3,0.3,24,2024-10-04
EVT_1172,CUST_118,CART_ABANDON,4223,DROPPED,2024-10-08 18:45:00,NETWORK_TIMEOUT,1,0.26,2,
EVT_1173,CUST_119,UPI_PAYMENT_FAIL,3184,FAILED,2024-08-07 08:50:00,CARD_EXPIRED,3,0.05,48,
EVT_1174,CUST_120,SUBSCRIPTION_FAIL,1154,FAILED,2024-10-23 19:50:00,INSUFFICIENT_FUNDS,3,0.24,24,
EVT_1175,CUST_120,UPI_PAYMENT_FAIL,3315,FAILED,2024-09-26 15:00:00,HIGH_SHIPPING_COST,1,0.05,2,
EVT_1176,CUST_121,SUBSCRIPTION_FAIL,2639,FAILED,2024-12-15 00:40:00,INSUFFICIENT_FUNDS,3,0.23,24,
EVT_1177,CUST_121,UPI_PAYMENT_FAIL,4404,FAILED,2024-08-24 19:00:00,HIGH_SHIPPING_COST,3,0.18,2,2024-08-27
EVT_1178,CUST_122,CART_ABANDON,3060,DROPPED,2024-12-21 05:05:00,CARD_EXPIRED,2,0.03,48,
EVT_1179,CUST_123,UPI_PAYMENT_FAIL,3586,FAILED,2024-11-06 02:10:00,HIGH_SHIPPING_COST,1,0.12,2,
EVT_1180,CUST_123,SUBSCRIPTION_FAIL,2621,FAILED,2024-08-09 01:55:00,INSUFFICIENT_FUNDS,2,0.0,24,2024-08-12
EVT_1181,CUST_124,UPI_PAYMENT_FAIL,2408,FAILED,2024-11-13 17:40:00,HIGH_SHIPPING_COST,3,0.05,2,
EVT_1182,CUST_124,SUBSCRIPTION_FAIL,2648,FAILED,2024-12-28 19:15:00,INSUFFICIENT_FUNDS,2,0.23,24,
EVT_1183,CUST_125,CART_ABANDON,2433,DROPPED,2024-08-12 01:45:00,NETWORK_TIMEOUT,2,0.07,2,
EVT_1184,CUST_126,SUBSCRIPTION_FAIL,4827,FAILED,2024-08-03 03:15:00,NETWORK_TIMEOUT,3,0.27,2,
EVT_1185,CUST_126,CART_ABANDON,1118,DROPPED,2024-11-17 03:10:00,HIGH_SHIPPING_COST,1,0.15,2,
EVT_1186,CUST_127,UPI_PAYMENT_FAIL,1408,FAILED,2024-08-26 06:40:00,HIGH_SHIPPING_COST,2,0.24,2,
EVT_1187,CUST_128,CART_ABANDON,2524,DROPPED,2024-09-08 17:45:00,CARD_EXPIRED,1,0.14,48,
EVT_1188,CUST_129,UPI_PAYMENT_FAIL,128,FAILED,2024-10-13 12:00:00,CARD_EXPIRED,3,0.03,48,
EVT_1189,CUST_130,CART_ABANDON,1124,DROPPED,2024-12-07 17:15:00,NETWORK_TIMEOUT,3,0.08,2,
EVT_1190,CUST_130,CART_ABANDON,3752,DROPPED,2025-01-02 03:35:00,HIGH_SHIPPING_COST,1,0.01,2,
EVT_1191,CUST_131,UPI_PAYMENT_FAIL,2665,FAILED,2024-09-24 00:40:00,CARD_EXPIRED,1,0.24,48,
EVT_1192,CUST_131,CART_ABANDON,1469,DROPPED,2024-11-07 13:10:00,NETWORK_TIMEOUT,2,0.04,2,
