event_id,resolved,resolution_channel,resolved_amount,resolution_timestamp
EVT_1079,True,WhatsApp,794.0,2024-08-06 09:25:00
EVT_1080,True,Email,441.0,2025-01-06 15:40:00
EVT_1081,False,,0.0,
EVT_1082,False,,0.0,
EVT_1083,False,,0.0,
EVT_1084,True,SMS,3180.0,2024-10-15 11:45:00
EVT_1085,False,,0.0,
EVT_1086,False,,0.0,
EVT_1087,False,,0.0,
EVT_1088,False,,0.0,
EVT_1089,True,WhatsApp,1172.0,2024-08-18 01:00:00
EVT_1090,False,,0.0,
EVT_1091,False,,0.0,
EVT_1092,True,Email,3377.0,2025-01-20 15:05:00
EVT_1093,False,,0.0,
EVT_1094,False,,0.0,
EVT_1095,False,,0.0,
EVT_1096,False,,0.0,
EVT_1097,False,,0.0,
EVT_1098,False,,0.0,
EVT_1099,False,,0.0,
EVT_1100,True,SMS,2214.0,2024-09-18 23:05:00
EVT_1101,False,,0.0,
EVT_1102,False,,0.0,
EVT_1103,False,,0.0,
EVT_1104,True,WhatsApp,4614.0,2024-11-19 13:25:00
EVT_1105,True,SMS,4422.0,2025-01-01 22:05:00
EVT_1106,False,,0.0,
EVT_1107,False,,0.0,
EVT_1108,False,,0.0,
EVT_1109,False,,0.0,
EVT_1110,True,WhatsApp,4821.0,2024-12-13 13:00:00
EVT_1111,True,Email,2813.0,2024-10-10 05:35:00
EVT_1112,False,,0.0,
EVT_1113,False,,0.0,
EVT_1114,False,,0.0,
EVT_1115,False,,0.0,
EVT_1116,False,,0.0,
EVT_1117,False,,0.0,
EVT_1118,True,WhatsApp,4240.0,2024-08-25 06:30:00
EVT_1119,False,,0.0,
EVT_1120,False,,0.0,
EVT_1121,False,,0.0,
EVT_1122,False,,0.0,
EVT_1123,False,,0.0,
EVT_1124,False,,0.0,
EVT_1125,False,,0.0,
EVT_1126,True,Email,2737.0,2024-10-26 12:20:00
EVT_1127,False,,0.0,
EVT_1128,False,,0.0,
EVT_1129,False,,0.0,
EVT_1130,True,WhatsApp,1226.0,2024-10-12 11:00:00
EVT_1131,False,,0.0,
EVT_1132,False,,0.0,
EVT_1133,False,,0.0,
EVT_1134,True,Email,973.0,2024-12-17 12:35:00
EVT_1135,False,,0.0,
EVT_1136,True,WhatsApp,2396.0,2024-12-30 06:05:00
EVT_1137,False,,0.0,
EVT_1138,False,,0.0,
EVT_1139,True,Email,246.0,2024-08-17 06:30:00
EVT_1140,False,,0.0,
EVT_1141,True,Email,3265.0,2024-12-13 18:45:00
EVT_1142,False,,0.0,
EVT_1143,False,,0.0,
EVT_1144,False,,0.0,
EVT_1145,False,,0.0,
EVT_1146,False,,0.0,
EVT_1147,False,,0.0,
EVT_1148,False,,0.0,
EVT_1149,False,,0.0,
EVT_1150,True,Email,351.0,2025-01-05 23:45:00
EVT_1151,False,,0.0,
EVT_1152,True,WhatsApp,1499.0,2025-01-12 03:50:00
EVT_1153,True,WhatsApp,2254.0,2024-09-12 09:55:00
EVT_1154,False,,0.0,
EVT_1155,False,,0.0,
EVT_1156,False,,0.0,
EVT_1157,False,,0.0,
EVT_1158,True,Email,3813.0,2024-11-22 16:35:00
EVT_1159,True,Email,793.0,2025-01-03 00:35:00
EVT_1160,False,,0.0,
EVT_1161,False,,0.0,
EVT_1162,True,Email,301.0,2024-10-02 20:30:00
EVT_1163,True,Email,1390.0,2024-11-22 07:05:00
EVT_1164,False,,0.0,
EVT_1165,False,,0.0,
EVT_1166,True,SMS,1696.0,2024-09-22 21:15:00
EVT_1167,False,,0.0,
EVT_1168,False,,0.0,
EVT_1169,True,WhatsApp,3041.0,2024-09-06 22:05:00
EVT_1170,False,,0.0,
EVT_1171,False,,0.0,
EVT_1172,True,Email,4223.0,2024-10-10 08:45:00
EVT_1173,False,,0.0,
EVT_1174,False,,0.0,
EVT_1175,False,,0.0,
EVT_1176,False,,0.0,
EVT_1177,False,,0.0,
EVT_1178,False,,0.0,
EVT_1179,False,,0.0,
EVT_1180,False,,0.0,
EVT_1181,False,,0.0,
EVT_1182,False,,0.0,
EVT_1183,True,SMS,2433.0,2024-08-13 18:45:00
EVT_1184,True,SMS,4827.0,2024-08-05 01:15:00
EVT_1185,False,,0.0,
EVT_1186,False,,0.0,
EVT_1187,False,,0.0,
EVT_1188,False,,0.0,
EVT_1189,False,,0.0,
EVT_1190,False,,0.0,
EVT_1191,False,,0.0,
EVT_1192,True,WhatsApp,1469.0,2024-11-08 19:10:00
EVT_1193,True,Email,2192.0,2024-08-03 02:20:00
EVT_1194,False,,0.0,
EVT_1195,False,,0.0,
EVT_1196,False,,0.0,
EVT_1197,False,,0.0,
EVT_1198,True,Email,2632.0,2024-10-18 14:35:00
EVT_1199,False,,0.0,
EVT_1200,False,,0.0,
EVT_1201,False,,0.0,
EVT_1202,True,WhatsApp,3199.0,2025-01-03 13:35:00
EVT_1203,False,,0.0,
EVT_1204,False,,0.0,
EVT_1205,False,,0.0,
EVT_1206,False,,0.0,
EVT_1207,True,WhatsApp,4988.0,2024-12-02 02:25:00
EVT_1208,False,,0.0,
EVT_1209,True,Email,829.0,2024-09-23 19:30:00
EVT_1210,False,,0.0,
EVT_1211,False,,0.0,
EVT_1212,False,,0.0,
EVT_1213,False,,0.0,
EVT_1214,True,SMS,199.0,2024-12-19 21:40:00
EVT_1215,True,Email,3453.0,2024-09-11 09:25:00
EVT_1216,False,,0.0,
EVT_1217,False,,0.0,
EVT_1218,False,,0.0,
EVT_1219,False,,0.0,
EVT_1220,False,,0.0,
EVT_1221,False,,0.0,
EVT_1222,False,,0.0,
